1413741615 utime cmd  I(cA)    SOC   stat  on mea bal  tr  yr  mo  dy  hr  mn sc   ti
1413741888 274338 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741889 275345 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741890 276347 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741891 277351 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741892 278358 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741893 279359 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741894 280360 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741895 281363 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741896 282367 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741897 283372 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741898 284376 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741899 285391 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741900 286396 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741901 287398 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741902 288401 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741903 289408 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741904 290415 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741905 291416 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741906 292420 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741907 293422 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741908 294425 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741909 295428 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741910 296429 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741911 297430 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741912 298431 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741913 299437 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741914 300444 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741915 301449 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741916 302453 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741917 303460 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741918 304461 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741919 305466 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741920 306471 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741921 307472 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741922 308474 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741923 309477 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741924 310479 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741925 311483 99 3 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741926 312488 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741927 313496 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741928 314502 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741929 315508 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741930 316515 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741931 317520 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741932 318525 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741933 319529 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741934 320534 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741935 321535 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741936 322536 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741937 323538 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741938 324544 99 8 63 1 0 0 0 0 0 0 0 0 0 0 0
1413741939 325546 99 5 63 1 0 0 0 0 0 0 0 0 0 0 0
