1413747310 utime AM_vel(rpm) AM_supV(dV) AM_supI(dA)
1413747482 174285 -18192 -18703 -19072
1413747482 174542 -18192 -18703 -19072
1413747482 174799 -18192 -18703 -19072
1413747483 175051 -18192 -18703 -19072
1413747483 175304 -18192 -18703 -19072
1413747483 175555 -18192 -18703 -19072
1413747483 175811 -18192 -18703 -19072
1413747484 176063 -18192 -18703 -19072
1413747484 176319 -18192 -18703 -19072
1413747484 176577 -18192 -18703 -19072
1413747484 176834 -18192 -18703 -19072
1413747485 177090 -18192 -18703 -19072
1413747485 177341 -18192 -18703 -19072
1413747485 177597 -18192 -18703 -19072
1413747485 177854 -18192 -18703 -19072
1413747486 178108 -18192 -18703 -19072
1413747486 178360 -18192 -18703 -19072
1413747486 178616 -18192 -18703 -19072
1413747486 178869 -18192 -18703 -19072
1413747487 179122 -18192 -18703 -19072
1413747487 179381 -18192 -18703 -19072
1413747487 179636 -18192 -18703 -19072
